# alpha                     Rey                       CL                        CD                        Cm                       
        -2.6179938780E-01          1.0000000000E+03         -4.7160000000E-01          2.1588000000E-01          4.8000000000E-03
        -2.6179938780E-01          5.5644444444E+05         -1.2564000000E+00          4.6420000000E-02         -3.2900000000E-02
        -2.6179938780E-01          1.1118888889E+06         -1.4025000000E+00          3.0860000000E-02         -3.0200000000E-02
        -2.6179938780E-01          1.6673333333E+06         -1.4788000000E+00          2.4910000000E-02         -2.5000000000E-02
        -2.6179938780E-01          2.2227777778E+06         -1.5149000000E+00          2.2440000000E-02         -2.1200000000E-02
        -2.6179938780E-01          2.7782222222E+06         -1.5419000000E+00          2.0770000000E-02         -1.7800000000E-02
        -2.6179938780E-01          3.3336666667E+06         -1.5571000000E+00          2.0040000000E-02         -1.5500000000E-02
        -2.6179938780E-01          3.8891111111E+06         -1.5703000000E+00          1.9100000000E-02         -1.3800000000E-02
        -2.6179938780E-01          4.4445555556E+06         -1.5801000000E+00          1.8390000000E-02         -1.2500000000E-02
        -2.6179938780E-01          5.0000000000E+06         -1.5875000000E+00          1.7850000000E-02         -1.1500000000E-02
        -2.4434609528E-01          1.0000000000E+03         -4.5140000000E-01          2.0375000000E-01          6.0000000000E-04
        -2.4434609528E-01          5.5644444444E+05         -1.2489000000E+00          3.6780000000E-02         -3.2800000000E-02
        -2.4434609528E-01          1.1118888889E+06         -1.3730000000E+00          2.5630000000E-02         -2.4700000000E-02
        -2.4434609528E-01          1.6673333333E+06         -1.4315000000E+00          2.1840000000E-02         -1.7700000000E-02
        -2.4434609528E-01          2.2227777778E+06         -1.4577000000E+00          1.9970000000E-02         -1.4300000000E-02
        -2.4434609528E-01          2.7782222222E+06         -1.4734000000E+00          1.8720000000E-02         -1.2200000000E-02
        -2.4434609528E-01          3.3336666667E+06         -1.4850000000E+00          1.7770000000E-02         -1.0700000000E-02
        -2.4434609528E-01          3.8891111111E+06         -1.4927000000E+00          1.7130000000E-02         -9.6000000000E-03
        -2.4434609528E-01          4.4445555556E+06         -1.4977000000E+00          1.6710000000E-02         -8.9000000000E-03
        -2.4434609528E-01          5.0000000000E+06         -1.5030000000E+00          1.6260000000E-02         -8.2000000000E-03
        -2.2689280276E-01          1.0000000000E+03         -4.2950000000E-01          1.9160000000E-01         -3.6000000000E-03
        -2.2689280276E-01          5.5644444444E+05         -1.2221000000E+00          3.0570000000E-02         -2.8600000000E-02
        -2.2689280276E-01          1.1118888889E+06         -1.3226000000E+00          2.2620000000E-02         -1.7500000000E-02
        -2.2689280276E-01          1.6673333333E+06         -1.3622000000E+00          1.9410000000E-02         -1.2500000000E-02
        -2.2689280276E-01          2.2227777778E+06         -1.3795000000E+00          1.7860000000E-02         -1.0200000000E-02
        -2.2689280276E-01          2.7782222222E+06         -1.3908000000E+00          1.6810000000E-02         -8.6000000000E-03
        -2.2689280276E-01          3.3336666667E+06         -1.3970000000E+00          1.6230000000E-02         -7.7000000000E-03
        -2.2689280276E-01          3.8891111111E+06         -1.4040000000E+00          1.5570000000E-02         -6.8000000000E-03
        -2.2689280276E-01          4.4445555556E+06         -1.4093000000E+00          1.5070000000E-02         -6.0000000000E-03
        -2.2689280276E-01          5.0000000000E+06         -1.4133000000E+00          1.4690000000E-02         -5.4000000000E-03
        -2.0943951024E-01          1.0000000000E+03         -4.0540000000E-01          1.7968000000E-01         -7.5000000000E-03
        -2.0943951024E-01          5.5644444444E+05         -1.1849000000E+00          2.6000000000E-02         -2.1300000000E-02
        -2.0943951024E-01          1.1118888889E+06         -1.2536000000E+00          1.9850000000E-02         -1.2400000000E-02
        -2.0943951024E-01          1.6673333333E+06         -1.2773000000E+00          1.7520000000E-02         -9.2000000000E-03
        -2.0943951024E-01          2.2227777778E+06         -1.2913000000E+00          1.6100000000E-02         -7.2000000000E-03
        -2.0943951024E-01          2.7782222222E+06         -1.2985000000E+00          1.5360000000E-02         -6.2000000000E-03
        -2.0943951024E-01          3.3336666667E+06         -1.3054000000E+00          1.4640000000E-02         -5.2000000000E-03
        -2.0943951024E-01          3.8891111111E+06         -1.3102000000E+00          1.4130000000E-02         -4.5000000000E-03
        -2.0943951024E-01          4.4445555556E+06         -1.3137000000E+00          1.3760000000E-02         -4.0000000000E-03
        -2.0943951024E-01          5.0000000000E+06         -1.3163000000E+00          1.3490000000E-02         -3.6000000000E-03
        -1.9198621772E-01          1.0000000000E+03         -3.7950000000E-01          1.6837000000E-01         -1.1200000000E-02
        -1.9198621772E-01          5.5644444444E+05         -1.1240000000E+00          2.2530000000E-02         -1.5200000000E-02
        -1.9198621772E-01          1.1118888889E+06         -1.1696000000E+00          1.7680000000E-02         -9.0000000000E-03
        -1.9198621772E-01          1.6673333333E+06         -1.1867000000E+00          1.5760000000E-02         -6.5000000000E-03
        -1.9198621772E-01          2.2227777778E+06         -1.1961000000E+00          1.4670000000E-02         -5.1000000000E-03
